id,left,top,right,bottom,row_index,col_index,x,y
1009,77.2753675,23.2843564,77.2758675,23.2838564,28,12,77.2756175,23.2841064
1010,77.2753675,23.2838564,77.2758675,23.2833564,29,12,77.2756175,23.2836064
1011,77.2753675,23.2833564,77.2758675,23.2828564,30,12,77.2756175,23.2831064
1012,77.2753675,23.2828564,77.2758675,23.2823564,31,12,77.2756175,23.2826064
1013,77.2753675,23.2823564,77.2758675,23.2818564,32,12,77.2756175,23.2821064
1014,77.2753675,23.2818564,77.2758675,23.2813564,33,12,77.2756175,23.2816064
1015,77.2753675,23.2813564,77.2758675,23.2808564,34,12,77.2756175,23.2811064
1016,77.2753675,23.2808564,77.2758675,23.2803564,35,12,77.2756175,23.2806064
1017,77.2753675,23.2803564,77.2758675,23.2798564,36,12,77.2756175,23.2801064
1018,77.2753675,23.2798564,77.2758675,23.2793564,37,12,77.2756175,23.2796064
1019,77.2753675,23.2793564,77.2758675,23.2788564,38,12,77.2756175,23.2791064
1036,77.2758675,23.2908564,77.2763675,23.2903564,15,13,77.2761175,23.2906064
1037,77.2758675,23.2903564,77.2763675,23.2898564,16,13,77.2761175,23.2901064
1038,77.2758675,23.2898564,77.2763675,23.2893564,17,13,77.2761175,23.2896064
1039,77.2758675,23.2893564,77.2763675,23.2888564,18,13,77.2761175,23.2891064
1040,77.2758675,23.2888564,77.2763675,23.2883564,19,13,77.2761175,23.2886064
1042,77.2758675,23.2878564,77.2763675,23.2873564,21,13,77.2761175,23.2876064
1043,77.2758675,23.2873564,77.2763675,23.2868564,22,13,77.2761175,23.2871064
1044,77.2758675,23.2868564,77.2763675,23.2863564,23,13,77.2761175,23.2866064
1046,77.2758675,23.2858564,77.2763675,23.2853564,25,13,77.2761175,23.2856064
1047,77.2758675,23.2853564,77.2763675,23.2848564,26,13,77.2761175,23.2851064
1048,77.2758675,23.2848564,77.2763675,23.2843564,27,13,77.2761175,23.2846064
1049,77.2758675,23.2843564,77.2763675,23.2838564,28,13,77.2761175,23.2841064
1050,77.2758675,23.2838564,77.2763675,23.2833564,29,13,77.2761175,23.2836064
1051,77.2758675,23.2833564,77.2763675,23.2828564,30,13,77.2761175,23.2831064
1052,77.2758675,23.2828564,77.2763675,23.2823564,31,13,77.2761175,23.2826064
1053,77.2758675,23.2823564,77.2763675,23.2818564,32,13,77.2761175,23.2821064
1054,77.2758675,23.2818564,77.2763675,23.2813564,33,13,77.2761175,23.2816064
1055,77.2758675,23.2813564,77.2763675,23.2808564,34,13,77.2761175,23.2811064
1056,77.2758675,23.2808564,77.2763675,23.2803564,35,13,77.2761175,23.2806064
1057,77.2758675,23.2803564,77.2763675,23.2798564,36,13,77.2761175,23.2801064
1058,77.2758675,23.2798564,77.2763675,23.2793564,37,13,77.2761175,23.2796064
1077,77.2763675,23.2903564,77.2768675,23.2898564,16,14,77.2766175,23.2901064
1078,77.2763675,23.2898564,77.2768675,23.2893564,17,14,77.2766175,23.2896064
1079,77.2763675,23.2893564,77.2768675,23.2888564,18,14,77.2766175,23.2891064
1080,77.2763675,23.2888564,77.2768675,23.2883564,19,14,77.2766175,23.2886064
1081,77.2763675,23.2883564,77.2768675,23.2878564,20,14,77.2766175,23.2881064
1082,77.2763675,23.2878564,77.2768675,23.2873564,21,14,77.2766175,23.2876064
1083,77.2763675,23.2873564,77.2768675,23.2868564,22,14,77.2766175,23.2871064
1084,77.2763675,23.2868564,77.2768675,23.2863564,23,14,77.2766175,23.2866064
1085,77.2763675,23.2863564,77.2768675,23.2858564,24,14,77.2766175,23.2861064
1086,77.2763675,23.2858564,77.2768675,23.2853564,25,14,77.2766175,23.2856064
1087,77.2763675,23.2853564,77.2768675,23.2848564,26,14,77.2766175,23.2851064
1088,77.2763675,23.2848564,77.2768675,23.2843564,27,14,77.2766175,23.2846064
1089,77.2763675,23.2843564,77.2768675,23.2838564,28,14,77.2766175,23.2841064
1090,77.2763675,23.2838564,77.2768675,23.2833564,29,14,77.2766175,23.2836064
1091,77.2763675,23.2833564,77.2768675,23.2828564,30,14,77.2766175,23.2831064
1092,77.2763675,23.2828564,77.2768675,23.2823564,31,14,77.2766175,23.2826064
1093,77.2763675,23.2823564,77.2768675,23.2818564,32,14,77.2766175,23.2821064
1094,77.2763675,23.2818564,77.2768675,23.2813564,33,14,77.2766175,23.2816064
1095,77.2763675,23.2813564,77.2768675,23.2808564,34,14,77.2766175,23.2811064
1096,77.2763675,23.2808564,77.2768675,23.2803564,35,14,77.2766175,23.2806064
1097,77.2763675,23.2803564,77.2768675,23.2798564,36,14,77.2766175,23.2801064
1098,77.2763675,23.2798564,77.2768675,23.2793564,37,14,77.2766175,23.2796064
1118,77.2768675,23.2898564,77.2773675,23.2893564,17,15,77.2771175,23.2896064
1119,77.2768675,23.2893564,77.2773675,23.2888564,18,15,77.2771175,23.2891064
1120,77.2768675,23.2888564,77.2773675,23.2883564,19,15,77.2771175,23.2886064
1121,77.2768675,23.2883564,77.2773675,23.2878564,20,15,77.2771175,23.2881064
1122,77.2768675,23.2878564,77.2773675,23.2873564,21,15,77.2771175,23.2876064
1123,77.2768675,23.2873564,77.2773675,23.2868564,22,15,77.2771175,23.2871064
1124,77.2768675,23.2868564,77.2773675,23.2863564,23,15,77.2771175,23.2866064
1125,77.2768675,23.2863564,77.2773675,23.2858564,24,15,77.2771175,23.2861064
1126,77.2768675,23.2858564,77.2773675,23.2853564,25,15,77.2771175,23.2856064
1127,77.2768675,23.2853564,77.2773675,23.2848564,26,15,77.2771175,23.2851064
1128,77.2768675,23.2848564,77.2773675,23.2843564,27,15,77.2771175,23.2846064
1129,77.2768675,23.2843564,77.2773675,23.2838564,28,15,77.2771175,23.2841064
1130,77.2768675,23.2838564,77.2773675,23.2833564,29,15,77.2771175,23.2836064
